cache_ratio,uniform,thread_num,key_num,op_num,warmup_op_num,bulk_load_num,read_ratio,insert_ratio,update_ratio,scan_ratio,duration
0.05,0,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,76681290878
0.05,0,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,81076342646
0.05,0,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,78214861293
0.1,0,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,80525608958
0.1,0,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,74638515274
0.1,0,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,90134334043
0.2,0,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,74356552806
0.2,0,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,81770308378
0.2,0,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,78792246153
0.4,0,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,79473142312
0.4,0,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,75596036930
0.4,0,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,90446773759
0.6,0,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,75313108564
0.6,0,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,81694397749
0.6,0,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,78802458940
0.8,0,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,80475304597
0.8,0,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,76306335694
0.8,0,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,90301983305
1.0,0,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,75578834469
1.0,0,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,81020732662
1.0,0,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,78213268340
0.05,1,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,75322457838
0.05,1,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,79307423336
0.05,1,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,76677861333
0.1,1,1,20000000,10000000,0,10000000,1.000000,0.000000,0.000000,0.000000,80457464624
0.1,1,1,20000000,10000000,0,10000000,0.950000,0.050000,0.000000,0.000000,71719481002
0.1,1,1,20000000,10000000,0,10000000,0.500000,0.500000,0.000000,0.000000,87745713758
